Claim_Name;Judul_Berita;Hoax_Class;Sumber;Tanggal;Subject;Tema_Artikel
Claim by Berbagai sumber:;Presiden Jokowi tidak memakai masker saat menghadiri PON XX Papua 2021;Salah;https://periksafakta.afp.com/http%253A%252F%252Fdoc.afp.com%252F9PL66R-1;Oct 17, 2021;Joko Widodo;Papua
Claim by Kanal YouTube:;Video yang diklaim sebagai video detik-detik Presiden Jokowi mengumumkan pencopotan Gubernur DKI Jakarta Anies Baswedan;Keliru;https://cekfakta.tempo.co/fakta/1425/keliru-klaim-ini-video-detik-detik-jokowi-umumkan-pencopotan-anies;Jun 24, 2021;Anies Baswedan;Joko Widodo
Claim by Akun Facebook:;"Gambar tangkapan layar artikel yang berjudul ""Arief Poyuono: Prabowo Mau Jokowi Tiga Periode, Sebab Prabowo Sudah Melihat Dan Merasakan Kerjanya Yang OK""";Keliru;https://cekfakta.tempo.co/fakta/1286/keliru-screenshot-artikel-yang-kutip-arief-poyuono-bahwa-prabowo-mau-jokowi-tiga-periode-karena-kerjanya-oke;Mar 16, 2021;Arief Poyuono;Prabowo Subianto
Claim by Kanal YouTube:;Video yang diklaim sebagai video ketika Presiden Jokowi menegur Satgas Waspada Investasi OJK karena menyusahkan rakyat di masa pandemi Covid-19;Keliru;https://cekfakta.tempo.co/fakta/1285/keliru-klaim-ini-video-jokowi-tegur-swi-ojk-karena-susahkan-rakyat-di-masa-pandemi;Mar 15, 2021;Joko Widodo;Otoritas Jasa Keuangan
Claim by Akun Facebook:;Kepala KSP Moeldoko menyebut vaksin Covid-19 untuk Jokowi berbeda dengan yang tersebar di masyarakat;Keliru;https://cekfakta.tempo.co/fakta/1187/keliru-klaim-moeldoko-sebut-vaksin-covid-19-untuk-jokowi-beda-dengan-yang-tersebar-di-masyarakat;Jan 7, 2021;Vaksin;Vaksin COVID-19
Claim by Kanal YouTube Humanity Of Ulama:;Mahkamah Agung telah menetapkan Joko Widodo sebagai tersangka dalam kasus kebakaran hutan dan lahan.;Sesat;https://cekfakta.tempo.co/fakta/348/fakta-atau-hoaks-benarkah-ma-telah-menetapkan-jokowi-sebagai-tersangka-kasus-kebakaran-hutan-dan-lahan;Jul 24, 2019;Kebakaran hutan;Joko Widodo
Claim by Beredar di media sosial Facebook:;Cina meminta dua pulau kepada Presiden Jokowi untuk membayar utang Indonesia;Keliru;https://cekfakta.tempo.co/fakta/403/fakta-atau-hoaks-benarkah-cina-meminta-dua-pulau-kepada-presiden-jokowi-untuk-membayar-utang-indonesia;Sep 17, 2019;Joko Widodo;Tiongkok
Claim by Kompas Info (blogspot) sejumlah akun Facebook:;Pemerintah Jokowi Tawarkan Kota Bogor Kepada Cina, Luhut: Rakyat Diam, Jangan Ikut Campur!;Keliru;https://cekfakta.tempo.co/fakta/205/fakta-atau-hoaks-benarkah-luhut-minta-rakyat-tak-ikut-campur-investasi-cina-di-bogor;Apr 8, 2019;Luhut Binsar Pandjaitan;Tiongkok
Claim by Akun-akun Facebook:;Lambang Presiden RI diganti dari Garuda Pancasila menjadi bintang seperti logo Partai Komunis Cina di era pemerintahan Jokowi;Keliru;https://cekfakta.tempo.co/fakta/780/fakta-atau-hoaks-benarkah-lambang-presiden-diganti-bintang-seperti-logo-partai-komunis-cina-di-era-jokowi;May 14, 2020;Logo;Simbol
Claim by Blog Operainf:;Wakil Presiden Ma'ruf Amin kaget duit PT Asuransi Jiwasraya masuk ke dana kampanyenya dengan Presiden Jokowi;Keliru;https://cekfakta.tempo.co/fakta/557/fakta-atau-hoaks-benarkah-maruf-amin-kaget-duit-jiwasraya-masuk-ke-dana-kampanyenya-dengan-jokowi;Jan 14, 2020;Ma'ruf Amin;Jiwasraya
Claim by Video beredar di WhatsApp:;"Video Joko Widodo ke Grand Indonesia, pengunjung berteriak ""tukang bohong"".";Keliru;https://cekfakta.tempo.co/fakta/249/fakta-atau-hoaks-benarkah-pengunjung-mall-grand-indonesia-teriaki-jokowi-tukang-bohong;Apr 21, 2019;Joko Widodo;Kebohongan
Claim by Berbagai sumber:;Video orang Amerika pendukung Presiden Jokowi;Salah;https://periksafakta.afp.com/video-ini-menunjukkan-demonstran-anti-rasisme-di-amerika-serikat-di-bulan-juni-2020;Jun 24, 2020;Orang Amerika;Video
Claim by Sejumlah situs dan akun-akun Facebook:;MPR mengusulkan agar Presiden Jokowi memimpin Indonesia hingga 2027;Sesat;https://cekfakta.tempo.co/fakta/850/fakta-atau-hoaks-benarkah-mpr-usul-presiden-jokowi-pimpin-indonesia-hingga-2027;Jun 26, 2020;Joko Widodo;Majelis Permusyawaratan Rakyat Republik Indonesia
Claim by Akun Facebook Suhermanto Yasduri:;Foto yang diklaim sebagai foto Presiden Jokowi yang salah posisi bersedekap saat salat;Keliru;https://cekfakta.tempo.co/fakta/829/fakta-atau-hoaks-benarkah-ini-foto-presiden-jokowi-yang-salah-posisi-bersedekap-saat-salat;Jun 12, 2020;Joko Widodo;Salat
Claim by Beredar di Facebook:;Pelantikan Jokowi-Ma'ruf Amin disambut meletusnya Gunung Kawi;Keliru;https://cekfakta.tempo.co/fakta/447/fakta-atau-hoaks-benarkah-saat-jokowi-maruf-amin-dilantik-gunung-kawi-meletus;Oct 24, 2019;Gunung Kawi;Gunung
Claim by Berbagai sumber:;Presiden Jokowi makan tikus bakar;Penjelasan;https://periksafakta.afp.com/jokowi-ditawari-tikus-bakar-saat-kampanye-pilpres-2014-tetapi-ia-menolaknya;Feb 3, 2020;Joko Widodo;Tikus
Claim by Berbagai sumber:;Jalan Presiden Joko Widodo di Arab Saudi;Sesat;https://periksafakta.afp.com/video-itu-menunjukkan-jalan-presiden-joko-widodo-di-uea;Oct 26, 2020;Joko Widodo;Arab Saudi
Claim by Beredar di Facebook:;PBNU mendoakan Presiden Jokowi kualat karena kecewa kadernya tidak dijadikan Menteri Agama;Keliru;https://cekfakta.tempo.co/fakta/453/fakta-atau-hoaks-benarkah-pbnu-doakan-jokowi-kualat-karena-kadernya-tidak-jadi-menteri-agama;Oct 31, 2019;Nahdlatul Ulama;Menteri
Claim by Akun Facebook:;Foto yang diklaim sebagai foto ayah Presiden Jokowi dan merupakan komandan underbow PKI;Keliru;https://cekfakta.tempo.co/fakta/931/fakta-atau-hoaks-benarkah-pria-di-foto-ini-ayah-jokowi-dan-komandan-underbow-pki;Aug 5, 2020;Joko Widodo;Partai Komunis Indonesia
Claim by Situs-situs dan akun media sosial:;Putra Presiden Jokowi, Gibran Rakabuming Raka, akan membebaskan Palestina dari Israel;Sesat;https://cekfakta.tempo.co/fakta/996/fakta-atau-hoaks-benarkah-gibran-akan-bebaskan-palestina-dari-israel;Sep 11, 2020;Gibran Rakabuming Raka;Israel
Claim by multiple sources:;Anak Presiden Indonesia Jokowi memakai kaos dengan gambar simbol komunis;salah;https://periksafakta.afp.com/tidak-foto-ini-tidak-menunjukkan-anak-presiden-indonesia-memakai-kaos-dengan-gambar-simbol-komunis;Mar 4, 2019;Joko Widodo;Presiden Indonesia
Claim by Narasi dan klaim beredar di media sosial:;Audrey Yu adalah anak perempuan WNI keturunan Tionghoa jenius yang bertemu Jokowi di KTT G20 di Jepang dan ditawari bekerja untuk BPPT;Keliru;https://cekfakta.tempo.co/fakta/329/fakta-atau-hoaks-benarkah-audrey-yu-bertemu-jokowi-dan-ditawari-bekerja-di-bppt;Jul 9, 2019;Maria Audrey Lukito;BPPT
Claim by Akun Facebook:;Presiden Jokowi berharap rakyat menerima TKA Cina sebagai saudara yang mencari nafkah di sini;Keliru;https://cekfakta.tempo.co/fakta/979/fakta-atau-hoaks-benarkah-jokowi-berharap-rakyat-terima-tka-cina-sebagai-saudara-yang-mencari-nafkah;Sep 4, 2020;Joko Widodo;Cek Fakta Tempo - TEMPO.co
Claim by Situs Reportase Indonesia:;Presiden Jokowi akan menjual separuh dari Kaltim untuk pemindahan ibu kota;Sesat;https://cekfakta.tempo.co/fakta/670/fakta-atau-hoaks-benarkah-presiden-jokowi-akan-jual-separuh-kaltim-untuk-pemindahan-ibu-kota;Mar 13, 2020;Joko Widodo;Ibu Kota
Claim by Situs Wartarakyat.co:;Presiden Jokowi mengakui gagal memimpin negara;Sesat;https://cekfakta.tempo.co/fakta/865/fakta-atau-hoaks-benarkah-presiden-jokowi-akui-gagal-pimpin-negara;Jul 3, 2020;Joko Widodo;Cek Fakta Tempo - TEMPO.co
Claim by Blog Operainf:;Presiden Jokowi menyebut Cina bukan mencuri tapi hanya mengejar ikan yang lari ke perairan Natuna;Keliru;https://cekfakta.tempo.co/fakta/553/fakta-atau-hoaks-benarkah-jokowi-sebut-cina-bukan-mencuri-tapi-hanya-mengejar-ikan-yang-lari-ke-natuna;Jan 13, 2020;Pencurian;Joko Widodo
Claim by Beredar di Facebook:;Presiden Jokowi melecehkan bendera Merah Putih karena berdiri di atas podium beralaskan kain berwarna merah-putih;Sesat;https://cekfakta.tempo.co/fakta/425/fakta-atau-hoaks-benarkah-presiden-jokowi-melecehkan-bendera-merah-putih;Oct 10, 2019;Bendera Indonesia;Bendera
Claim by Beberapa sumber:;Penampakan jin saat pelantikan presiden-wapres Jokowi-Ma’ruf;Salah;https://periksafakta.afp.com/video-ini-menunjukkan-animasi-yang-dibuat-dengan-komputer;Oct 25, 2019;Jin;Ma'ruf Amin
Claim by Akun-akun Facebook:;Anggota DPR dari Fraksi PDI Perjuangan, Ribka Tjiptaning, menyebut bahwa ibu Presiden Jokowi adalah Ketua Umum Gerwani PKI;Keliru;https://cekfakta.tempo.co/fakta/832/fakta-atau-hoaks-benarkah-ribka-tjiptaning-sebut-ibu-jokowi-ketua-gerwani-pki;Jun 15, 2020;Ribka Tjiptaning;Gerakan Wanita Indonesia
Claim by Akun Facebook Alfi Laili Cholidah:;Refly Harun menyebut bahwa kemenangan Presiden Jokowi dalam Pilpres 2019 adalah hasil kejahatan antek Cina;Keliru;https://cekfakta.tempo.co/fakta/778/fakta-atau-hoaks-benarkah-refly-harun-sebut-kemenangan-jokowi-hasil-kejahatan-antek-cina;May 12, 2020;Refly Harun;Joko Widodo
Claim by Beredar di Facebook:;Presiden Jokowi mengakui adanya kecurangan dalam Pemilu 2019;Keliru;https://cekfakta.tempo.co/fakta/565/fakta-atau-hoaks-benarkah-presiden-jokowi-akui-adanya-kecurangan-dalam-pemilu-2019;Jan 20, 2020;Joko Widodo;Pemilihan umum Indonesia 2019
Claim by Kanal YouTube 651 SAFA:;Bos Samsung menyebut ekonomi Indonesia macet total di bawah pemerintahan Presiden Jokowi;Keliru;https://cekfakta.tempo.co/fakta/487/fakta-atau-hoaks-benarkah-bos-samsung-sebut-ekonomi-indonesia-macet-total-di-era-presiden-jokowi;Nov 22, 2019;Ekonomi Indonesia;Ekonomi
Claim by AKun-akun Facebook:;Putusan MA Nomor 44 Tahun 2019 membatalkan kemenangan Jokowi-Ma'ruf Amin dalam Pilpres 2019;Keliru;https://cekfakta.tempo.co/fakta/874/fakta-atau-hoaks-benarkah-putusan-ma-batalkan-kemenangan-jokowi-maruf-amin-di-pilpres-2019;Jul 9, 2020;Ma'ruf Amin;Joko Widodo
Claim by @prabowopresidenkusandiagaunowapresku:;Benarkah Presiden Jokowi Melarang Sweeping Atribut PKI?;Sesat;https://cekfakta.tempo.co/fakta/77/fakta-atau-hoax-benarkah-presiden-jokowi-melarang-sweeping-atribut-pki;Nov 27, 2018;Joko Widodo;Partai Komunis Indonesia
Claim by Berbagai sumber:;Demonstrasi di Jakarta di bulan Juni 2020 menuntut Jokowi turun;Sesat;https://periksafakta.afp.com/video-ini-menunjukkan-aksi-unjuk-rasa-mahasiswa-di-palembang-di-bulan-september-2019;Jun 8, 2020;Unjuk rasa;Periksa Fakta
Claim by Beredar di Facebook:;Wakil Presiden Ma'ruf Amin menyebut bahwa yang tidak mengakui Presiden Jokowi sebagai pemimpin akan masuk neraka;Keliru;https://cekfakta.tempo.co/fakta/638/fakta-atau-hoaks-benarkah-maruf-amin-sebut-yang-tak-akui-jokowi-pemimpin-bakal-masuk-neraka;Feb 25, 2020;Ma'ruf Amin;Joko Widodo
Claim by Akun YouTube Erdogan Indonesia:;“TV Al-Jazeera menyiarkan kecurangan Pemilu di Indonesia, bikin geger Dunia. Pemilu curang telah dipertontonkan oleh Rezim Jokowi yang merusak citra Indonesia dimata dunia, demokrasi sudah mati di Indonesia. Itu Wiranto kalau berani suruh tutup TV tersebut, Sudah tersiar ke selu...;Keliru;https://cekfakta.tempo.co/fakta/282/fakta-atau-hoaks-benarkah-tv-al-jazeera-telah-menyiarkan-kecurangan-pemilu-di-indonesia;May 15, 2019;Pemilihan;Televisi
Claim by Gambar tangkapan layar beredar di Facebook:;"Tangkapan layar situs Tempo dengan berita berjudul ""Jokowi: Korban Meninggal itu Sudah Takdir Jangan di Perpanjang Lagi""";Keliru;https://cekfakta.tempo.co/fakta/272/fakta-atau-hoaks-benarkah-tempo-memuat-pernyataan-jokowi-bahwa-korban-meninggal-adalah-takdir;May 7, 2019;Joko Widodo;Tempo
Claim by Blog Operainf:;Wakil Presiden Ma'ruf Amin kaget duit PT Asuransi Jiwasraya masuk ke dana kampanyenya dengan Presiden Jokowi;Keliru;https://cekfakta.tempo.co/fakta/557/fakta-atau-hoaks-benarkah-maruf-amin-kaget-duit-jiwasraya-masuk-ke-dana-kampanyenya-dengan-jokowi;Jan 14, 2020;Ma'ruf Amin;Jiwasraya
Claim by Akun Facebook:;Video yang berisi klaim bahwa Presiden Jokowi mencopot Menkopolhukam Mahfud MD;Keliru;https://cekfakta.tempo.co/fakta/1119/keliru-video-yang-sebut-presiden-jokowi-copot-menkopolhukam-mahfud-md;Nov 25, 2020;Joko Widodo;Mahfud MD
Claim by Beredar di media sosial:;Polisi membebaskan remaja Tionghoa yang ancam bunuh Jokowi, namun penjarakan pemuda Muslim yang mengancam penggal Jokowi.;Keliru;https://cekfakta.tempo.co/fakta/281/fakta-atau-hoaks-benarkah-polisi-bebaskan-remaja-tionghoa-yang-ancam-tembak-jokowi-karena-etnisnya;May 14, 2019;Joko Widodo;Polisi
Claim by Akun Facebook:;Presiden Jokowi berharap rakyat menerima TKA Cina sebagai saudara yang mencari nafkah di sini;Keliru;https://cekfakta.tempo.co/fakta/979/fakta-atau-hoaks-benarkah-jokowi-berharap-rakyat-terima-tka-cina-sebagai-saudara-yang-mencari-nafkah;Sep 4, 2020;Joko Widodo;Cek Fakta Tempo - TEMPO.co
Claim by Video beredar di WhatsApp:;"Video Joko Widodo ke Grand Indonesia, pengunjung berteriak ""tukang bohong"".";Keliru;https://cekfakta.tempo.co/fakta/249/fakta-atau-hoaks-benarkah-pengunjung-mall-grand-indonesia-teriaki-jokowi-tukang-bohong;Apr 21, 2019;Joko Widodo;Kebohongan
Claim by Beredar di WhatsApp dan media sosial:;Ada tulisan kalimat “Terimakasih Pak Jokowi, doakan kami menjadi haji yang mabrur” di badan pesawat Garuda Indonesia;Sebagian Benar;https://cekfakta.tempo.co/fakta/327/fakta-atau-hoaks-benarkah-ada-tulisan-terima-kasih-pak-jokowi-di-badan-pesawat-garuda-indonesia;Jul 7, 2019;Garuda Indonesia;Garuda
Claim by Akun Facebook:;Novel Baswedan salahkan Presiden Jokowi terkait putusan pengadilan atas kasus penyiraman air keras terhadapnya dan menyuruhnya banding;Sesat;https://cekfakta.tempo.co/fakta/835/fakta-atau-hoaks-benarkah-narasi-yang-sebut-novel-baswedan-salahkan-jokowi-dan-menyuruhnya-banding;Jun 17, 2020;Novel Baswedan;Joko Widodo
Claim by Akun-akun Facebook dan grup-grup WhatsApp:;"Pesan berantai yang berjudul ""Vaksinasi Presiden Harus Diulang dan Hati-hati dengan Vaksinasi"". Menurut pesan ini, vaksinasi yang dilakukan oleh Presiden Jokowi gagal. Pesan itu juga menyinggung soal reaksi ADE pada vaksin Covid-19 serta menyebut vaksin Sinovac adalah vaksin Cov...";Sesat;https://cekfakta.tempo.co/fakta/1200/sesat-pesan-berantai-yang-sebut-vaksinasi-covid-19-presiden-jokowi-harus-diulang;Jan 18, 2021;Vaksin COVID-19;Vaksinasi
Claim by Beredar di Facebook:;Pelantikan Jokowi-Ma'ruf Amin disambut meletusnya Gunung Kawi;Keliru;https://cekfakta.tempo.co/fakta/447/fakta-atau-hoaks-benarkah-saat-jokowi-maruf-amin-dilantik-gunung-kawi-meletus;Oct 24, 2019;Gunung Kawi;Ma'ruf Amin
Claim by Akun Facebook Alfi Laili Cholidah:;Refly Harun menyebut bahwa kemenangan Presiden Jokowi dalam Pilpres 2019 adalah hasil kejahatan antek Cina;Keliru;https://cekfakta.tempo.co/fakta/778/fakta-atau-hoaks-benarkah-refly-harun-sebut-kemenangan-jokowi-hasil-kejahatan-antek-cina;May 12, 2020;Refly Harun;Joko Widodo
Claim by Beredar di media sosial:;Joko Widodo batal menggaji pengangguran lewat Kartu Prakerja;Sesat;https://cekfakta.tempo.co/fakta/343/fakta-atau-hoaks-benarkah-jokowi-batal-memberikan-tunjangan-untuk-pengangguran;Jul 19, 2019;Joko Widodo;Pengangguran
Claim by Akun Facebook Syamsul Bachri:;Presiden Jokowi ditolak rakyatnya sendiri di Malaysia;Keliru;https://cekfakta.tempo.co/fakta/328/fakta-atau-hoaks-benarkah-wni-di-malaysia-menolak-kedatangan-presiden-jokowi;Jul 8, 2019;Joko Widodo;Malaysia
Claim by Beredar di Facebook:;Presiden Jokowi mengakui adanya kecurangan dalam Pemilu 2019;Keliru;https://cekfakta.tempo.co/fakta/565/fakta-atau-hoaks-benarkah-presiden-jokowi-akui-adanya-kecurangan-dalam-pemilu-2019;Jan 20, 2020;Joko Widodo;Pemilihan umum Indonesia 2019
Claim by AKun-akun Facebook:;Putusan MA Nomor 44 Tahun 2019 membatalkan kemenangan Jokowi-Ma'ruf Amin dalam Pilpres 2019;Keliru;https://cekfakta.tempo.co/fakta/874/fakta-atau-hoaks-benarkah-putusan-ma-batalkan-kemenangan-jokowi-maruf-amin-di-pilpres-2019;Jul 9, 2020;Ma'ruf Amin;Joko Widodo
Claim by Faisal Assegaf Ketua LSM Progres 98 pada 2014:;Joko Widodo dan Iriana Widodo memiliki rekening gendut berisi USD8 juta di luar negeri.;Keliru;https://cekfakta.tempo.co/fakta/275/fakta-atau-hoaks-benarkah-jokowi-dan-iriana-punya-rekening-gendut-di-luar-negeri;May 8, 2019;Joko Widodo;Iriana Joko Widodo
Claim by Akun-akun Facebook:;"Presiden Turki Erdogan mengatakan, ""Jika Jokowi tidak terjun ke politik, maka penjahatlah yang akan mengisinya.""";Keliru;https://cekfakta.tempo.co/fakta/876/fakta-atau-hoaks-benarkah-erdogan-sebut-jika-jokowi-tak-terjun-ke-politik-maka-penjahatlah-yang-akan-mengisinya;Jul 10, 2020;Recep Tayyip Erdoğan;Joko Widodo
Claim by Sejumlah situs dan akun Facebook:;Presiden Jokowi meminta semua gubernur meniru Gubernur DKI Jakarta Anies Baswedan untuk menghadapi resesi ekonomi;Keliru;https://cekfakta.tempo.co/fakta/1002/fakta-atau-hoaks-benarkah-jokowi-minta-semua-gubernur-tiru-anies-untuk-hadapi-resesi;Sep 15, 2020;Anies Baswedan;Joko Widodo
Claim by Akun Facebook:;"Gambar tangkapan layar artikel yang berjudul ""Arief Poyuono: Prabowo Mau Jokowi Tiga Periode, Sebab Prabowo Sudah Melihat Dan Merasakan Kerjanya Yang OK""";Keliru;https://cekfakta.tempo.co/fakta/1286/keliru-screenshot-artikel-yang-kutip-arief-poyuono-bahwa-prabowo-mau-jokowi-tiga-periode-karena-kerjanya-oke;Mar 16, 2021;Arief Poyuono;Prabowo Subianto
Claim by Viral di media sosial:;Mantan Presiden BJ Habibie berkata bahwa lawan berat Prabowo itu bukan Jokowi tapi kecurangan.;Keliru;https://cekfakta.tempo.co/fakta/243/fakta-atau-hoaks-benarkah-bj-habibie-menyatakan-lawan-berat-prabowo-adalah-kecurangan;Apr 18, 2019;B. J. Habibie;Prabowo Subianto
Claim by Video yang beredar di Facebook.:;Aktivis hak asasi manusia Munir Said Thalib dibunuh satu bulan setelah bersaksi bahwa Prabowo tidak bersalah;Keliru;https://cekfakta.tempo.co/fakta/280/fakta-atau-hoaks-benarkah-munir-dibunuh-satu-bulan-setelah-bersaksi-prabowo-tak-bersalah;May 13, 2019;Munir Said Thalib;Pembunuhan
Claim by Blog Tribun Ind:;Menteri Pertahanan Prabowo Subianto menyebut wajib militer ampuh untuk menangkal bangkitnya PKI;Keliru;https://cekfakta.tempo.co/fakta/479/fakta-atau-hoaks-benarkah-menhan-prabowo-sebut-wajib-militer-ampuh-tangkal-bangkitnya-pki;Nov 15, 2019;Prabowo Subianto;Wajib militer
Claim by Tersebar di sosial media:;Lembaga Survey NCID menyatakan Prabowo memenangkan exit poll Pilpres 2019;Keliru;https://cekfakta.tempo.co/fakta/239/fakta-atau-hoaks-benarkah-pernyataan-ncid-bahwa-prabowo-memenangkan-exit-poll-pilpres-2019;Apr 17, 2019;Prabowo Subianto;Exit poll
Claim by Akun Twitter JS Prabowo di @berteman_mari:;Ribuan suara pemilih Prabowo hangus karena kecurangan pemilu di Turki;Sesat;https://cekfakta.tempo.co/fakta/232/fakta-atau-hoaks-benarkah-ribuan-suara-pemilih-prabowo-hangus-karena-kecurangan-pemilu-di-turki;Apr 16, 2019;Prabowo Subianto;Pemilihan
Claim by Beredar di media sosial Facebook:;Mahkamah Konstitusi meminta maaf dan akan melantik Prabowo-Sandi sebagai presiden dan wakil presiden pada Oktober 2019.;Sesat;https://cekfakta.tempo.co/fakta/389/fakta-atau-hoaks-benarkah-mk-minta-maaf-dan-akan-melantik-prabowo-sandi-sebagai-presiden-dan-wakil-presiden;Sep 5, 2019;Prabowo Subianto;Mahkamah Konstitusi Republik Indonesia
Claim by Video yang beredar di YouTube:;Seorang pemuda di Riau mencoblos 20 kertas suara untuk paslon 02, Prabowo-Sandiaga;Benar;https://cekfakta.tempo.co/fakta/257/fakta-atau-hoaks-benarkah-20-surat-suara-di-riau-tercoblos-untuk-paslon-02;Apr 25, 2019;Riau;Prabowo Subianto
